,year,region,adm,hoursPerWeek_1,salaryPer40Hours_2
218,2015,Sergipe,Privada,32.83428,1597.139
221,2015,Sergipe,Pública,38.47669,3681.684
224,2015,São Paulo,Estadual,32.56227,3439.912
227,2015,São Paulo,Privada,31.17544,3432.884
230,2015,São Paulo,Pública,32.01694,3973.53
233,2015,Tocantins,Estadual,39.9981,3586.542
236,2015,Tocantins,Privada,30.39108,2815.383
239,2015,Tocantins,Pública,37.22457,3245.723
2,2016,Acre,Privada,31.24449,2936.607
5,2016,Acre,Pública,31.09769,3169.375
8,2016,Alagoas,Estadual,31.80451,2159.61
11,2016,Alagoas,Privada,29.28082,1936.916
14,2016,Alagoas,Pública,30.81717,2852.711
17,2016,Amazonas,Estadual,30.00397,3600.315
20,2016,Amazonas,Privada,32.87387,2875.698
23,2016,Amazonas,Pública,30.66079,3224.424
26,2016,Amapá,Estadual,39.32952,3110.173
29,2016,Amapá,Privada,30.60833,2379.725
32,2016,Amapá,Pública,39.66616,3202.069
35,2016,Bahia,Estadual,33.25606,5573.236
38,2016,Bahia,Privada,30.44402,2281.155
41,2016,Bahia,Pública,33.84787,3926.765
44,2016,Ceará,Estadual,30.21628,3099.679
47,2016,Ceará,Privada,32.12506,1852.091
50,2016,Ceará,Pública,30.85795,3104.906
53,2016,Distrito Federal,Estadual,35.92263,7625.398
56,2016,Distrito Federal,Privada,27.12976,4876.094
59,2016,Distrito Federal,Pública,35.99375,7680.83
62,2016,Espírito Santo,Estadual,34.05778,2833.49
65,2016,Espírito Santo,Privada,29.24145,3232.017
68,2016,Espírito Santo,Pública,28.29957,3782.647
71,2016,Goiás,Estadual,39.35446,3582.549
74,2016,Goiás,Privada,31.25306,2617.637
77,2016,Goiás,Pública,36.78644,4173.037
80,2016,Maranhão,Estadual,24.24226,5825.015
83,2016,Maranhão,Privada,31.58079,2041.78
86,2016,Maranhão,Pública,30.47611,3444.481
89,2016,Minas Gerais,Estadual,24.27947,4073.52
92,2016,Minas Gerais,Privada,28.20716,3372.458
95,2016,Minas Gerais,Pública,25.63734,3970.988
98,2016,Mato Grosso do Sul,Estadual,20.81682,6907.667
101,2016,Mato Grosso do Sul,Privada,28.7219,2979.842
104,2016,Mato Grosso do Sul,Pública,22.97327,5556.592
107,2016,Mato Grosso,Estadual,39.99705,2760.515
110,2016,Mato Grosso,Privada,28.00086,3263.034
113,2016,Mato Grosso,Pública,35.46855,3364.117
116,2016,Pará,Estadual,20.48174,10683.63
119,2016,Pará,Privada,28.40999,2696.35
122,2016,Pará,Pública,30.43811,4900.279
125,2016,Paraíba,Estadual,30.01939,2205.232
128,2016,Paraíba,Privada,27.3517,1850.779
131,2016,Paraíba,Pública,35.03508,2586.97
134,2016,Pernambuco,Estadual,35.89189,2759.909
137,2016,Pernambuco,Privada,30.02154,2176.155
140,2016,Pernambuco,Pública,35.75137,3087.307
143,2016,Piauí,Estadual,32.23328,2942.587
146,2016,Piauí,Privada,29.02218,2345.139
149,2016,Piauí,Pública,35.50694,2931.973
152,2016,Paraná,Estadual,36.2442,4041.561
155,2016,Paraná,Privada,28.85124,2997.954
158,2016,Paraná,Pública,30.30058,4069.588
161,2016,Rio de Janeiro,Estadual,38.20166,2489.19
164,2016,Rio de Janeiro,Privada,29.90825,2762.657
167,2016,Rio de Janeiro,Pública,31.23889,4102.039
170,2016,Rio Grande do Norte,Estadual,39.99722,2958.971
173,2016,Rio Grande do Norte,Privada,33.65299,1736.914
176,2016,Rio Grande do Norte,Pública,34.00497,3727.827
179,2016,Rondônia,Estadual,38.42073,2645.997
182,2016,Rondônia,Privada,29.92468,2876.534
185,2016,Rondônia,Pública,35.25422,3031.741
188,2016,Roraima,Estadual,35.31937,4070.45
191,2016,Roraima,Privada,30.68691,2738.751
194,2016,Roraima,Pública,33.77337,3878.157
197,2016,Rio Grande do Sul,Estadual,30.62106,3280.45
200,2016,Rio Grande do Sul,Privada,27.89831,3356.261
203,2016,Rio Grande do Sul,Pública,26.67136,4229.069
206,2016,Santa Catarina,Estadual,24.74598,4481.65
209,2016,Santa Catarina,Privada,30.84292,3042.501
212,2016,Santa Catarina,Pública,29.35554,4099.251
215,2016,Sergipe,Estadual,39.84332,3893.414
218,2016,Sergipe,Privada,32.6578,1715.006
221,2016,Sergipe,Pública,38.60344,3908.69
224,2016,São Paulo,Estadual,33.07453,3522.152
227,2016,São Paulo,Privada,31.2944,3648.524
230,2016,São Paulo,Pública,32.32696,4216.536
233,2016,Tocantins,Estadual,39.99916,3629.426
236,2016,Tocantins,Privada,30.05948,3057.509
239,2016,Tocantins,Pública,37.15267,3479.701
2,2017,Acre,Privada,28.20137,3435.37
5,2017,Acre,Pública,30.73085,3438.921
8,2017,Alagoas,Estadual,32.00503,2287.79
11,2017,Alagoas,Privada,29.22257,2146.719
14,2017,Alagoas,Pública,29.94118,3200.761
17,2017,Amazonas,Estadual,30.00499,3228.855
20,2017,Amazonas,Privada,32.4221,3083.625
23,2017,Amazonas,Pública,29.9344,3302.044
26,2017,Amapá,Estadual,39.28617,1815.708
29,2017,Amapá,Privada,31.88941,2458.954
32,2017,Amapá,Pública,39.74822,2299.423
35,2017,Bahia,Estadual,33.43808,5979.784
38,2017,Bahia,Privada,30.25338,2451.0
